Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,6.009615,6.109776,5.949519,5.989583,1.008423,269568
1962-01-03,5.959535,5.959535,5.909455,5.929487,0.998305,184704
1962-01-04,5.929487,5.979567,5.809295,5.859375,0.986501,229632
1962-01-05,5.859375,5.869391,5.608974,5.709135,0.961205,340704
1962-01-08,5.709135,5.709135,5.528846,5.699119,0.959519,386880
1962-01-09,5.699119,5.779247,5.659054,5.729167,0.964578,290784
1962-01-10,5.729167,5.789263,5.709135,5.759215,0.969637,244608
1962-01-11,5.759215,5.769231,5.659054,5.769231,0.971323,203424
1962-01-12,5.769231,5.779247,5.669071,5.689103,0.957833,210912
1962-01-15,5.699119,5.769231,5.699119,5.749199,0.967951,264576
1962-01-16,5.749199,5.819311,5.709135,5.799279,0.976382,173472
1962-01-17,5.789263,5.789263,5.629006,5.669071,0.954460,267072
1962-01-18,5.669071,5.729167,5.659054,5.729167,0.964578,184704
1962-01-19,5.729167,5.779247,5.729167,5.779247,0.973010,165984
1962-01-22,5.789263,5.869391,5.789263,5.799279,0.976382,177216
1962-01-23,5.779247,5.779247,5.669071,5.689103,0.957833,284544
1962-01-24,5.689103,5.819311,5.669071,5.799279,0.976382,199680
1962-01-25,5.799279,5.839343,5.699119,5.739183,0.966265,198432
1962-01-26,5.739183,5.749199,5.699119,5.719151,0.962892,126048
1962-01-29,5.719151,5.749199,5.709135,5.729167,0.964578,127296
1962-01-30,5.799279,5.889423,5.799279,5.829327,0.981441,222144
1962-01-31,5.829327,6.009615,5.819311,6.009615,1.011795,234624
1962-02-01,6.009615,6.039663,5.909455,5.969551,1.005049,320736
1962-02-02,5.969551,5.999599,5.929487,5.999599,1.010109,184704
1962-02-05,5.989583,5.989583,5.889423,5.889423,0.991559,175968
1962-02-06,5.909455,5.969551,5.909455,5.949519,1.001677,129792
1962-02-07,5.949519,6.009615,5.929487,6.009615,1.011795,210912
1962-02-08,6.009615,6.049679,5.999599,6.049679,1.018541,219648
1962-02-09,6.049679,6.049679,5.939503,6.019631,1.013481,188448
1962-02-12,6.019631,6.039663,5.989583,6.019631,1.013481,102336
1962-02-13,6.029647,6.089744,6.029647,6.089744,1.025286,151008
1962-02-14,6.089744,6.159856,6.079728,6.139824,1.033719,202176
1962-02-15,6.149840,6.250000,6.149840,6.229968,1.048895,233376
1962-02-16,6.229968,6.239984,6.139824,6.189904,1.042150,292032
1962-02-19,6.189904,6.219952,6.109776,6.139824,1.033719,194688
1962-02-20,6.139824,6.139824,6.049679,6.129808,1.032032,133536
1962-02-21,6.129808,6.159856,6.069712,6.109776,1.028659,134784
1962-02-23,6.109776,6.119792,6.039663,6.049679,1.018541,203424
1962-02-26,6.049679,6.069712,5.919471,5.969551,1.005049,157248
1962-02-27,5.969551,6.009615,5.959535,6.009615,1.011795,116064
1962-02-28,6.009615,6.029647,5.959535,5.979567,1.006736,207168
1962-03-01,6.009615,6.089744,6.009615,6.089744,1.025286,113568
1962-03-02,6.099760,6.169872,6.099760,6.129808,1.032032,157248
1962-03-05,6.139824,6.189904,6.139824,6.139824,1.033719,173472
1962-03-06,6.139824,6.149840,6.029647,6.049679,1.018541,117312
1962-03-07,6.049679,6.119792,6.049679,6.089744,1.025286,126048
1962-03-08,6.089744,6.199920,6.069712,6.179888,1.040463,220896
1962-03-09,6.209936,6.280048,6.209936,6.270032,1.055640,247104
1962-03-12,6.270032,6.290064,6.250000,6.280048,1.057326,263328
1962-03-13,6.280048,6.280048,6.209936,6.250000,1.059023,160992
1962-03-14,6.250000,6.260016,6.179888,6.219952,1.053933,136032
1962-03-15,6.219952,6.290064,6.189904,6.239984,1.057326,235872
1962-03-16,6.250000,6.290064,6.250000,6.280048,1.064115,129792
1962-03-19,6.280048,6.280048,6.209936,6.209936,1.052235,138528
1962-03-20,6.209936,6.229968,6.189904,6.209936,1.052235,106080
1962-03-21,6.209936,6.229968,6.189904,6.199920,1.050537,200928
1962-03-22,6.199920,6.219952,6.169872,6.169872,1.045446,127296
1962-03-23,6.179888,6.250000,6.179888,6.250000,1.059023,159744
1962-03-26,6.239984,6.239984,6.149840,6.149840,1.042053,144768
1962-03-27,6.149840,6.199920,6.129808,6.199920,1.050537,156000
1962-03-28,6.209936,6.280048,6.209936,6.239984,1.057326,165984
1962-03-29,6.239984,6.290064,6.199920,6.229968,1.055629,146016
1962-03-30,6.229968,6.239984,6.119792,6.159856,1.043749,183456
1962-04-02,6.149840,6.149840,6.109776,6.129808,1.038658,142272
1962-04-03,6.129808,6.129808,6.019631,6.059696,1.026777,212160
1962-04-04,6.059696,6.119792,6.049679,6.069712,1.028476,170976
