Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,6.009615,6.109776,5.949519,5.989583,1.009674,269568
1962-01-03,5.959535,5.959535,5.909455,5.929487,0.999544,184704
1962-01-04,5.929487,5.979567,5.809295,5.859375,0.987724,229632
1962-01-05,5.859375,5.869391,5.608974,5.709135,0.962398,340704
1962-01-08,5.709135,5.709135,5.528846,5.699119,0.960710,386880
1962-01-09,5.699119,5.779247,5.659054,5.729167,0.965775,290784
1962-01-10,5.729167,5.789263,5.709135,5.759215,0.970841,244608
1962-01-11,5.759215,5.769231,5.659054,5.769231,0.972529,203424
1962-01-12,5.769231,5.779247,5.669071,5.689103,0.959022,210912
1962-01-15,5.699119,5.769231,5.699119,5.749199,0.969152,264576
1962-01-16,5.749199,5.819311,5.709135,5.799279,0.977594,173472
1962-01-17,5.789263,5.789263,5.629006,5.669071,0.955645,267072
1962-01-18,5.669071,5.729167,5.659054,5.729167,0.965775,184704
1962-01-19,5.729167,5.779247,5.729167,5.779247,0.974217,165984
1962-01-22,5.789263,5.869391,5.789263,5.799279,0.977594,177216
1962-01-23,5.779247,5.779247,5.669071,5.689103,0.959022,284544
1962-01-24,5.689103,5.819311,5.669071,5.799279,0.977594,199680
1962-01-25,5.799279,5.839343,5.699119,5.739183,0.967463,198432
1962-01-26,5.739183,5.749199,5.699119,5.719151,0.964087,126048
1962-01-29,5.719151,5.749199,5.709135,5.729167,0.965775,127296
1962-01-30,5.799279,5.889423,5.799279,5.829327,0.982659,222144
1962-01-31,5.829327,6.009615,5.819311,6.009615,1.013051,234624
1962-02-01,6.009615,6.039663,5.909455,5.969551,1.006297,320736
1962-02-02,5.969551,5.999599,5.929487,5.999599,1.011363,184704
1962-02-05,5.989583,5.989583,5.889423,5.889423,0.992789,175968
1962-02-06,5.909455,5.969551,5.909455,5.949519,1.002920,129792
1962-02-07,5.949519,6.009615,5.929487,6.009615,1.013051,210912
1962-02-08,6.009615,6.049679,5.999599,6.049679,1.019804,219648
1962-02-09,6.049679,6.049679,5.939503,6.019631,1.014739,188448
1962-02-12,6.019631,6.039663,5.989583,6.019631,1.014739,102336
1962-02-13,6.029647,6.089744,6.029647,6.089744,1.026558,151008
1962-02-14,6.089744,6.159856,6.079728,6.139824,1.035000,202176
1962-02-15,6.149840,6.250000,6.149840,6.229968,1.050197,233376
1962-02-16,6.229968,6.239984,6.139824,6.189904,1.043442,292032
1962-02-19,6.189904,6.219952,6.109776,6.139824,1.035000,194688
1962-02-20,6.139824,6.139824,6.049679,6.129808,1.033313,133536
1962-02-21,6.129808,6.159856,6.069712,6.109776,1.029936,134784
1962-02-23,6.109776,6.119792,6.039663,6.049679,1.019804,203424
1962-02-26,6.049679,6.069712,5.919471,5.969551,1.006297,157248
1962-02-27,5.969551,6.009615,5.959535,6.009615,1.013051,116064
1962-02-28,6.009615,6.029647,5.959535,5.979567,1.007985,207168
1962-03-01,6.009615,6.089744,6.009615,6.089744,1.026558,113568
1962-03-02,6.099760,6.169872,6.099760,6.129808,1.033313,157248
1962-03-05,6.139824,6.189904,6.139824,6.139824,1.035000,173472
1962-03-06,6.139824,6.149840,6.029647,6.049679,1.019804,117312
1962-03-07,6.049679,6.119792,6.049679,6.089744,1.026558,126048
1962-03-08,6.089744,6.199920,6.069712,6.179888,1.041754,220896
1962-03-09,6.209936,6.280048,6.209936,6.270032,1.056950,247104
1962-03-12,6.270032,6.290064,6.250000,6.280048,1.058638,263328
1962-03-13,6.280048,6.280048,6.209936,6.250000,1.060338,160992
1962-03-14,6.250000,6.260016,6.179888,6.219952,1.055240,136032
1962-03-15,6.219952,6.290064,6.189904,6.239984,1.058638,235872
1962-03-16,6.250000,6.290064,6.250000,6.280048,1.065435,129792
1962-03-19,6.280048,6.280048,6.209936,6.209936,1.053541,138528
1962-03-20,6.209936,6.229968,6.189904,6.209936,1.053541,106080
1962-03-21,6.209936,6.229968,6.189904,6.199920,1.051841,200928
1962-03-22,6.199920,6.219952,6.169872,6.169872,1.046743,127296
1962-03-23,6.179888,6.250000,6.179888,6.250000,1.060338,159744
1962-03-26,6.239984,6.239984,6.149840,6.149840,1.043345,144768
1962-03-27,6.149840,6.199920,6.129808,6.199920,1.051841,156000
1962-03-28,6.209936,6.280048,6.209936,6.239984,1.058638,165984
1962-03-29,6.239984,6.290064,6.199920,6.229968,1.056939,146016
1962-03-30,6.229968,6.239984,6.119792,6.159856,1.045044,183456
1962-04-02,6.149840,6.149840,6.109776,6.129808,1.039947,142272
1962-04-03,6.129808,6.129808,6.019631,6.059696,1.028052,212160
1962-04-04,6.059696,6.119792,6.049679,6.069712,1.029751,170976
1962-04-05,6.069712,6.119792,6.019631,6.119792,1.038247,220896
1962-04-06,6.119792,6.149840,6.069712,6.079728,1.031451,175968
1962-04-09,6.079728,6.099760,6.059696,6.069712,1.029751,148512
1962-04-10,6.059696,6.059696,5.979567,5.979567,1.014457,178464
1962-04-11,5.979567,6.039663,5.839343,5.869391,0.995766,157248
1962-04-12,5.869391,5.899439,5.819311,5.839343,0.990668,179712
1962-04-13,5.849359,6.059696,5.849359,5.989583,1.016156,213408
1962-04-16,5.989583,5.999599,5.889423,5.939503,1.007660,189696
1962-04-17,5.939503,5.969551,5.929487,5.949519,1.009359,179712
1962-04-18,5.949519,5.969551,5.889423,5.929487,1.005961,440544
1962-04-19,5.929487,5.959535,5.919471,5.939503,1.007660,127296
1962-04-23,5.939503,5.959535,5.909455,5.909455,1.002563,215904
1962-04-24,5.909455,5.919471,5.869391,5.869391,0.995766,278304
1962-04-25,5.869391,5.899439,5.789263,5.789263,0.982171,275808
1962-04-26,5.789263,5.859375,5.769231,5.789263,0.982171,179712
1962-04-27,5.789263,5.879407,5.649038,5.689103,0.965179,267072
1962-04-30,5.689103,5.729167,5.408654,5.488782,0.931194,345696
1962-05-01,5.488782,5.649038,5.408654,5.618990,0.953285,398112
1962-05-02,5.629006,5.739183,5.629006,5.669071,0.961781,363168
1962-05-03,5.699119,5.769231,5.699119,5.769231,0.978773,389376
1962-05-04,5.769231,5.789263,5.699119,5.749199,0.975375,247104
1962-05-07,5.749199,5.759215,5.659054,5.689103,0.965179,260832
1962-05-08,5.689103,5.689103,5.639022,5.679087,0.963480,193440
1962-05-09,5.679087,5.689103,5.629006,5.669071,0.961781,273312
1962-05-10,5.669071,5.709135,5.578926,5.618990,0.953285,330720
1962-05-11,5.618990,5.689103,5.528846,5.548878,0.941390,484224
1962-05-14,5.548878,5.639022,5.478766,5.639022,0.956683,378144
1962-05-15,5.639022,5.709135,5.639022,5.669071,0.961781,328224
1962-05-16,5.669071,5.689103,5.649038,5.679087,0.963480,217152
1962-05-17,5.679087,5.719151,5.649038,5.679087,0.963480,101088
1962-05-18,5.699119,5.759215,5.699119,5.759215,0.977074,234624
1962-05-21,5.759215,5.759215,5.709135,5.709135,0.968577,173472
1962-05-22,5.709135,5.719151,5.568910,5.568910,0.944788,210912
1962-05-23,5.528846,5.528846,5.428686,5.458734,0.926095,275808
1962-05-24,5.458734,5.518830,5.368590,5.388622,0.914201,355680
1962-05-25,5.388622,5.388622,5.218349,5.278446,0.895509,318240
1962-05-28,5.258413,5.258413,4.977965,5.008013,0.849629,529152
1962-05-29,5.008013,5.278446,4.807692,5.218349,0.885313,974688
1962-05-31,5.238381,5.368590,5.238381,5.268429,0.893810,542880
1962-06-01,5.268429,5.318510,5.208333,5.288462,0.897208,341952
1962-06-04,5.278446,5.278446,5.048077,5.048077,0.856426,252096
1962-06-05,5.048077,5.208333,5.008013,5.078125,0.861524,396864
1962-06-06,5.138221,5.288462,5.138221,5.138221,0.871720,274560
1962-06-07,5.158253,5.238381,5.158253,5.158253,0.875118,132288
1962-06-08,5.178285,5.278446,5.178285,5.208333,0.883615,167232
1962-06-11,5.208333,5.258413,5.158253,5.198317,0.881916,147264
1962-06-12,5.138221,5.138221,4.897837,4.917869,0.840816,341952
1962-06-13,4.917869,5.038061,4.887821,4.907853,0.839104,346944
1962-06-14,4.907853,5.008013,4.867788,4.877804,0.833967,72384
1962-06-15,4.877804,5.028045,4.807692,5.028045,0.859653,438048
1962-06-18,5.018029,5.018029,4.887821,4.947917,0.845954,280800
1962-06-19,4.947917,4.957933,4.877804,4.917869,0.840816,159744
1962-06-20,4.897837,4.897837,4.807692,4.807692,0.821979,307008
1962-06-21,4.807692,4.807692,4.647436,4.647436,0.794580,380640
1962-06-22,4.627404,4.627404,4.437099,4.447115,0.760331,415584
1962-06-25,4.447115,4.527244,4.346955,4.487179,0.767180,577824
1962-06-26,4.487179,4.537260,4.447115,4.447115,0.760331,423072
1962-06-27,4.447115,4.517228,4.417067,4.517228,0.772318,222144
1962-06-28,4.597356,4.737580,4.597356,4.707532,0.804855,328224
1962-06-29,4.737580,4.837740,4.737580,4.767628,0.815130,274560
1962-07-02,4.767628,5.098157,4.737580,5.038061,0.861366,247104
1962-07-03,5.038061,5.108173,4.967949,5.038061,0.861366,398112
1962-07-05,5.038061,5.148237,5.038061,5.148237,0.880203,219648
1962-07-06,5.098157,5.098157,4.967949,5.038061,0.861366,194688
1962-07-09,5.038061,5.118189,4.947917,5.078125,0.868216,217152
1962-07-10,5.078125,5.228365,5.068109,5.098157,0.871640,366912
1962-07-11,5.098157,5.148237,5.028045,5.128205,0.876778,180960
1962-07-12,5.168269,5.258413,5.168269,5.198317,0.888765,305760
1962-07-13,5.188301,5.188301,5.068109,5.158253,0.881916,242112
1962-07-16,5.148237,5.148237,5.078125,5.148237,0.880203,123552
1962-07-17,5.128205,5.128205,4.997997,4.997997,0.854516,163488
1962-07-18,4.967949,4.967949,4.897837,4.927885,0.842529,194688
1962-07-19,4.927885,5.058093,4.917869,5.008013,0.856228,188448
1962-07-20,5.008013,5.098157,4.997997,5.028045,0.859653,126048
1962-07-23,5.038061,5.108173,5.038061,5.098157,0.871640,121056
1962-07-24,5.098157,5.118189,5.028045,5.028045,0.859653,123552
1962-07-25,5.028045,5.028045,4.907853,5.008013,0.856228,114816
1962-07-26,5.008013,5.108173,5.008013,5.108173,0.873353,156000
1962-07-27,5.108173,5.158253,5.058093,5.098157,0.871640,182208
1962-07-30,5.098157,5.188301,5.098157,5.188301,0.887052,132288
1962-07-31,5.208333,5.338542,5.208333,5.318510,0.909315,358176
1962-08-01,5.318510,5.328526,5.268429,5.288462,0.904177,178464
1962-08-02,5.288462,5.328526,5.288462,5.328526,0.911027,147264
1962-08-03,5.328526,5.368590,5.318510,5.368590,0.917877,192192
1962-08-06,5.358574,5.358574,5.258413,5.268429,0.900752,192192
1962-08-07,5.268429,5.278446,5.228365,5.258413,0.899040,199680
1962-08-08,5.258413,5.258413,5.158253,5.258413,0.899040,129792
1962-08-09,5.258413,5.308494,5.238381,5.268429,0.900752,148512
1962-08-10,5.268429,5.338542,5.258413,5.318510,0.909315,193440
1962-08-13,5.318510,5.318510,5.248397,5.268429,0.900752,152256
1962-08-14,5.288462,5.408654,5.288462,5.408654,0.924727,272064
1962-08-15,5.408654,5.428686,5.368590,5.388622,0.921301,188448
1962-08-16,5.388622,5.438702,5.388622,5.408654,0.924727,169728
1962-08-17,5.418670,5.478766,5.418670,5.458734,0.933288,182208
1962-08-20,5.458734,5.538862,5.428686,5.448718,0.931576,193440
1962-08-21,5.448718,5.518830,5.428686,5.448718,0.931576,146016
1962-08-22,5.468750,5.568910,5.468750,5.568910,0.952126,185952
1962-08-23,5.568910,5.598958,5.538862,5.548878,0.948701,180960
1962-08-24,5.548878,5.558894,5.408654,5.448718,0.931576,255840
1962-08-27,5.448718,5.498798,5.378606,5.378606,0.919589,157248
1962-08-28,5.388622,5.458734,5.388622,5.418670,0.926439,204672
1962-08-29,5.418670,5.428686,5.368590,5.408654,0.924727,129792
1962-08-30,5.418670,5.468750,5.418670,5.428686,0.928153,154752
1962-08-31,5.428686,5.488782,5.428686,5.488782,0.938426,102336
1962-09-04,5.488782,5.498798,5.338542,5.338542,0.912740,131040
1962-09-05,5.338542,5.348558,5.218349,5.238381,0.895615,212160
1962-09-06,5.238381,5.308494,5.178285,5.238381,0.895615,233376
1962-09-07,5.238381,5.358574,5.238381,5.348558,0.914453,213408
1962-09-10,5.348558,5.428686,5.278446,5.418670,0.926439,126048
1962-09-11,5.418670,5.438702,5.358574,5.358574,0.916164,165984
1962-09-12,5.358574,5.418670,5.348558,5.418670,0.926439,76128
1962-09-13,5.418670,5.488782,5.358574,5.368590,0.917877,218400
1962-09-14,5.368590,5.448718,5.368590,5.418670,0.926439,98592
1962-09-17,5.418670,5.488782,5.418670,5.458734,0.933288,102336
1962-09-18,5.458734,5.498798,5.408654,5.448718,0.938464,185952
1962-09-19,5.448718,5.458734,5.348558,5.438702,0.936739,170976
1962-09-20,5.438702,5.438702,5.318510,5.358574,0.922938,151008
1962-09-21,5.348558,5.348558,5.238381,5.248397,0.903962,227136
1962-09-24,5.228365,5.228365,5.138221,5.188301,0.893611,259584
1962-09-25,5.188301,5.218349,5.058093,5.208333,0.897061,223392
1962-09-26,5.198317,5.198317,5.058093,5.088141,0.876360,205920
1962-09-27,5.078125,5.078125,4.977965,4.987981,0.859110,193440
1962-09-28,4.987981,5.118189,4.967949,5.118189,0.881536,218400
1962-10-01,5.118189,5.118189,5.048077,5.098157,0.878085,148512
1962-10-02,5.098157,5.198317,5.088141,5.198317,0.895336,108576
1962-10-03,5.198317,5.228365,5.168269,5.168269,0.890161,137280
1962-10-04,5.168269,5.288462,5.088141,5.288462,0.910862,205920
1962-10-05,5.308494,5.408654,5.308494,5.378606,0.926389,158496
1962-10-08,5.388622,5.458734,5.388622,5.408654,0.931564,160992
1962-10-09,5.408654,5.428686,5.368590,5.428686,0.935015,149760
1962-10-10,5.428686,5.448718,5.338542,5.358574,0.922938,132288
1962-10-11,5.328526,5.328526,5.268429,5.298478,0.912588,168480
1962-10-12,5.298478,5.298478,5.248397,5.278446,0.909138,83616
1962-10-15,5.278446,5.388622,5.258413,5.388622,0.928113,141024
1962-10-16,5.388622,5.428686,5.388622,5.388622,0.928113,158496
1962-10-17,5.368590,5.368590,5.308494,5.358574,0.922938,192192
1962-10-18,5.358574,5.358574,5.328526,5.338542,0.919488,156000
1962-10-19,5.338542,5.358574,5.208333,5.238381,0.902237,345696
1962-10-22,5.238381,5.238381,5.158253,5.188301,0.893611,289536
